termino_normalizado,frecuencia,ejemplo_original
panol,1,pañol
americena,1,americena
port,1,port.
espanola paraguaya,1,española paraguaya
americano vapor ingles vapor holandes,1,americano vapor inglés vapor holandés
a n,1,a.n.
noit,1,noit
aleman vapor ingles,1,alemán vapor inglés
polaca,1,polaca
danes nacional,1,danes nacional
brasilero ingles,1,brasilero inglés
ultramar,1,Ultramar
ingles de guerra italiano,1,ingles de guerra italiano
polonia,1,Polonia
nacional italiano,1,nacional italiano
gnatemalteca,1,gnatemalteca
brasilere,1,brasilere
bra itero,1,bra itero
china,1,China
bolandesa,1,bolandesa
brasilero de guerra espanol,1,brasilero de guerra español
guatemalense,1,guatemalense
noruege,1,noruege
naliana,1,naliana
italieua,1,italieua
panar,1,panar
nacional holandes,1,nacional holandes
maleman,1,maleman
oriental italiano nacional,1,oriental italiano nacional
oriental paraguayo,1,oriental paraguayo
espananola,1,españañola
especial,1,especial
de barcelona,1,de Barcelona
f sa,1,f'sa
alen,1,alen
patron,1,patron
aleman holandes,1,alemán holandés
amc,1,amc.
amrc,1,amrc
re-brasilero,1,Re-brasilero
ings,1,ings
fcesa,1,fcesa
amera,1,amera
nacional ing,1,nacional ing.
nao,1,nao.
brasilero nacional,1,brasilero nacional
inglesa italiana,1,inglesa italiana
oriental nacl,1,oriental nacl
pa,1,pa
portu gues,1,portu gues
inglesa nacional,1,inglesa nacional
americana ingles,1,americana inglés
ncl,1,ncl
ningles,1,ningles
francesas,1,francesas
patr n,1,patr n
oriental frances italiano,1,oriental francés italiano
denes,1,denes
naa,1,naa
ina,1,ina.
holanda,1,holanda
nouuega,1,nouuega
fianc,1,fianc.
ital nacl,1,ital nacl
expl,1,expl.
in c w bem y ca gles,1,in. & C. W. Bem y ca gles
frsncesa,1,frsncesa
fsa,1,fsa
ingiesa,1,ingiesa
bea ing,1,bea ing
inglesa americana,1,inglesa americana
aspanola,1,aspañola
la,1,la.
francia,1,francia
italana,1,italana
italiano espanol,1,italiano español
alemana sueca,1,alemana sueca
fces,1,fcés
aeman,1,aeman
americana sueca,1,americana sueca
americana inglesa,1,americana inglesa
britisher,1,britisher
capital,1,Capital
fnc,1,fnc
noruega belga,1,noruega belga
oriental ital,1,oriental ital
frae,1,frae
norg,1,norg
esa,1,esa
espano,1,españo
aleman paraguayo,1,alemán paraguayo
espil,1,espil
nornego,1,nornego
california,1,California
auricana,1,auricana
aliana,1,aliana
oriental franco,1,oriental franco
espanol brasilero,1,español brasilero
americado,1,americado
americano aleman,1,americano aleman
igles,1,igles
alemana noruega,1,alemana noruega
gre,1,gre
del tuyu,1,del Tuyú
inglesa noruega,1,inglesa noruega
italiana espanola,1,italiana española
espanol aleman,1,español aleman
alaman,1,alaman
ingles espanol,1,inglés español
aleman noruego,1,alemán noruego
italieno,1,italieno
norruega,1,norruega
id,1,id
sumasa,1,sumasa
espanol italiano,1,español italiano
ingles frances,1,inglés francés
ingles brasileno,1,inglés brasileño
brazileiro,1,brazileiro
oriental brasileno,1,oriental brasileño
org es,1,org'es
francas,1,francas
almericano,1,almericano
frauces,1,fraucés
ncal,1,ncal.
italianr,1,italianr
inglaterra,1,inglaterra
brasilero nacl,1,brasilero nacl
aleman brasilero,1,alemán brasilero
can,1,can.
oriental belga,1,oriental belga
otiental,1,otiental
americana italiana americana americana americana,1,americana italiana americana americana americana
del zarato,1,del Zarato
bdra del carmelo,1,Bdra del Carmelo
de formaza,1,de Formaza
del carmelo,1,del Carmelo
de la asuncion,1,de la Asuncion
bdra del rosario,1,bdra del Rosario
del rosario,1,del Rosario
bdra de san geronimo hillner,1,bdra de San Gerónimo & Hillner
de santa fe,1,de Santa Fé
de m gaacia,1,de M. Gaacia
bdra de gualeguaychu,1,bdra de Gualeguaychú
inglon,1,inglón
italiana belga,1,italiana belga
intaliano,1,intaliano
italiano aleman,1,italiano alemán
amerino,1,amerino
portuguaz,1,portuguaz
rio de la plata,1,Rio de la Plata
hirlandesa,1,hirlandesa
portugueza,1,portugueza
idglesa,1,idglesa
alena,1,alena
italiana frances,1,italiana frances
noruego nacional,1,noruego nacional
frances austriaco,1,francés austriaco
americara,1,americara
pat frances,1,pat frances
rac,1,rac
anstriaca,1,anstriaca
gaeta,1,Gaeta
a eman,1,a'eman
genoves,1,genovés
bolga,1,bolga
ingis,1,Ingis
nrc,1,nrc
de mercedes,1,de Mercedes
orien,1,orien
ins,1,ins
fes,1,fes
ortal,1,ortal
itn,1,itn
nic,1,nic
an-triaba,1,an-triaba
francos,1,francos
bac,1,bac
inaliano,1,inaliano
inales,1,inales
iug,1,iug
norusga,1,norusga
allmana,1,allmana
diamante,1,Diamante
bdra del parana,1,Bdra del Paraná
de v colon,1,de V Colon
ensenada,1,Ensenada
bdra de m garcia,1,Bdra de M. García
ittaliano,1,ittaliano
carmelo,1,Carmelo
austro hungaro,1,Austro Húngaro
s,1,S
austro hungara,1,austro húngara
ing-esa,1,ing-esa
gualeguaychu,1,Gualeguaychú
alemena,1,alemena
notuega,1,notuega
finlandes,1,finlandés
de la victoria,1,de la Victoria
franos,1,franos
suecu,1,suecu
ncruega,1,ncruega
nortego,1,nortego
alemande,1,alemande
oleman,1,oleman
alemon,1,alemon
sneca,1,sneca
turca,1,turca
roruega,1,roruega
iaglesn,1,iaglesn
noriega,1,noriega
nacional de hamburgo,1,nacional de Hamburgo
mala-real,1,Mala-Real
urugua,1,Urugua
iuglesa,1,iuglesa
inglesa de norte america,1,inglesa de Norte América
noraega,1,noráega
americana de new-york,1,americana de New-York
norueega de brunswick,1,norueega de Brunswick
espanol de brunswick,1,español de Brunswick
austriaca de brunswick,1,austriaca de Brunswick
quache,1,Quache
holandesa de hamburgo,1,holandesa de Hamburgo
noruega de e unidos,1,noruega de E. Unidos
italiano de cadiz,1,italiano de Cadiz
alamana,1,alamana
frances de burdeos,1,francés de Burdeos
americana de calais,1,americana de Calais
de newport,1,de Newport
americana de brunswick,1,americana de Brunswick
italina,1,italina
italiana de hamburgo,1,italiana de Hamburgo
auctriaca,1,auctriaca
nornega,1,nornega
americana de quebec,1,americana de Quebec
americana de cardiff,1,americana de Cardiff
noruega de savamat,1,noruega de Savamat
e o,1,E. O.
ingles de barcelona,1,inglés de Barcelona
de la paz,1,de La Paz
san nicolas,1,San Nicolas
campana,1,campana
orientales,1,orientales
espanola de cadiz,1,española de Cádiz
brastiero,1,brastiero
americana de portlan,1,americana de Portlan
itno,1,itno
de cardiff,1,de Cardiff
heivecia,1,Heivecia
nacional de santa fe,1,nacional de Santa Fé
italiana de ibiza,1,italiana de Ibiza
americana de marsella,1,americana de Marsella
nacional de curumba,1,nacional de Curumbá
oriental de uruguay,1,oriental de Uruguay
alemana de estados unidos,1,alemana de Estados Unidos
americano de new-york,1,americano de New-York
oriental de santos,1,oriental de Santos
holandosa,1,holandosa
italiano ingles,1,italiano inglés
nacional del brasil,1,nacional del Brasil
deman,1,deman
de cadiz,1,de Cádiz
haitiana,1,haitiana
artino,1,artino
italiano holandes,1,italiano holandes
norueg,1,norueg
inglesa y norteamericana,1,inglesa y norteamericana
italiana y danesa,1,italiana y danesa
holandesas,1,holandesas
noruega y rusa,1,noruega y rusa
noruega e inglesa,1,noruega e inglesa
noruegas e italiana,1,noruegas e italiana
italiana y sueca,1,italiana y sueca
inglesa y sueca,1,inglesa y sueca
cardiff,1,Cardiff
franceses,1,franceses
ingles austriaco,1,"inglés, austriaco"
noruegas inglesa,1,"noruegas, inglesa"
rusas,1,rusas
ingles y noruego,1,inglés y noruego
cubano,1,cubano
ingles holandes,1,inglés holandés
aleman y belga,1,alemán y belga
belgas,1,belgas
norandes,1,norandés
frances y argentino,1,francés y argentino
italiana y noruega,1,italiana y noruega
