termino_normalizado,frecuencia,ejemplo_original
vergantin goleta,1,vergantin goleta
canchon,1,canchon
barcs,1,Barcs
bombardera,1,bombardera
car,1,car
patacbo,1,patacbo
pt,1,pt
blda,1,blda
pai abot,1,pai'abot
americano,1,americano
pc,1,pc
ugre,1,ugre
balana,1,Balana
vapor de guerra oriental,1,vapor de guerra oriental
pailabo,1,pailabo
cote,1,Cote
vapor paque,1,vapor paque
berggla,1,berggla
ceaing,1,Ceaing
boto,1,boto
lonchen,1,lonchen
paibo,1,paibo
pailebct,1,pailebct
bergentin,1,bergentin
burgantir,1,burgantir
barcar,1,barcar
bergantin golete,1,bergantin golete
poilbt,1,poilbt
gche,1,gche.
lechuga,1,lechuga
vanor,1,Vanor
rumace,1,rumace
peilebo,1,peilebo.
bergantiu goleta,1,bergantiu goleta
laudra,1,laudra
mini ballenera,1,mini ballenera
berganlin,1,berganlin
fragata barca,1,fragata barca
qeche,1,qeche
icha,1,Icha
cuter td,1,cuter td
it,1,it
bergontin goleta,1,bergontin goleta
euter,1,euter
lehon,1,lehon
qehe,1,qehe
bergn gta,1,bergn. gta.
gcleta,1,gcleta
berg got,1,berg. got.
polac,1,polac.
vapor nacional,1,Vapor Nacional
baba,1,baba
buter,1,buter
pal esp,1,Pal. Esp.
ichn,1,Ichn.
gta inglesa,1,gta inglesa
vapor paqt,1,vapor paqt
lanchin,1,lanchin
vap pte,1,vap pte
pera,1,pera
bca frac,1,bca frac
idra,1,Idra
peho,1,peho
zap,1,zap
gel,1,gel.
bea franc,1,bea franc
pbra,1,pbra
bea italo,1,bea italo
boe,1,boe
bea ama,1,bea ama
gta nao,1,gta nao
vap nao,1,vap nao
goehe,1,goehe
es lla,1,Es lla
vergantin,1,vergantin
vapor draga,1,vapor (draga)
bura,1,bura
bca amera,1,bca amera
palibote,1,palibote
bgn,1,bgn.
vdra,1,vdra
outer,1,outer
plea,1,plea
bea americana,1,bea americana
boa fiano,1,boa fiano
verg,1,verg
boa americana,1,boa americana
bern,1,bern
bdra joven,1,bdra jóven
bea griega,1,bea griega
hergn,1,hergn
borgadtin,1,borgadtin
bda,1,bda
imperatrice eugenie,1,Imperatrice Eugenie
borg glta,1,borg glta
qch,1,qch
flor del baradero,1,Flor del Baradero
frataga,1,frataga
fragt,1,fragt
hta,1,hta
laochon,1,laochon
ptaho,1,ptaho
vap de guerra,1,vap de guerra
de guerra,1,de guerra
